Incident_Id,Location,Cluster
193075,Other/Unknown,Other/Unknown
193076,Other/Unknown,Other/Unknown
190110,Other/Unknown,Other/Unknown
192346,Other/Unknown,Other/Unknown
190111,Other/Unknown,Other/Unknown
190112,Other/Unknown,Other/Unknown
190551,Other/Unknown,Other/Unknown
190552,Other/Unknown,Other/Unknown
190553,Other/Unknown,Other/Unknown
190554,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
192347,Other/Unknown,Other/Unknown
192348,Other/Unknown,Other/Unknown
192349,Other/Unknown,Other/Unknown
192350,Other/Unknown,Other/Unknown
192351,Other/Unknown,Other/Unknown
192352,Other/Unknown,Other/Unknown
193078,Other/Unknown,Other/Unknown
193079,Other/Unknown,Other/Unknown
193080,Other/Unknown,Other/Unknown
193081,Other/Unknown,Other/Unknown
193082,Other/Unknown,Other/Unknown
193083,Other/Unknown,Other/Unknown
193084,Other/Unknown,Other/Unknown
193085,Other/Unknown,Other/Unknown
193086,Other/Unknown,Other/Unknown
193087,Other/Unknown,Other/Unknown
193088,Residence/Home,Residential or Community Center
193089,Other/Unknown,Other/Unknown
193090,Residence/Home,Residential or Community Center
193091,Other/Unknown,Other/Unknown
193092,Other/Unknown,Other/Unknown
193093,Other/Unknown,Other/Unknown
193094,Other/Unknown,Other/Unknown
193095,Other/Unknown,Other/Unknown
193096,Other/Unknown,Other/Unknown
193097,Other/Unknown,Other/Unknown
193098,Other/Unknown,Other/Unknown
193099,Other/Unknown,Other/Unknown
193100,Other/Unknown,Other/Unknown
193101,Other/Unknown,Other/Unknown
193102,Other/Unknown,Other/Unknown
193103,Other/Unknown,Other/Unknown
190129,Other/Unknown,Other/Unknown
190130,Other/Unknown,Other/Unknown
190131,Residence/Home,Residential or Community Center
190132,Other/Unknown,Other/Unknown
190133,Other/Unknown,Other/Unknown
190134,Other/Unknown,Other/Unknown
190135,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
190137,Other/Unknown,Other/Unknown
190138,Other/Unknown,Other/Unknown
190139,Other/Unknown,Other/Unknown
190140,Other/Unknown,Other/Unknown
190141,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
190142,Other/Unknown,Other/Unknown
190144,Residence/Home,Residential or Community Center
190146,Other/Unknown,Other/Unknown
190148,Other/Unknown,Other/Unknown
190149,Other/Unknown,Other/Unknown
190150,Other/Unknown,Other/Unknown
190151,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
190152,Residence/Home,Residential or Community Center
190153,Other/Unknown,Other/Unknown
190154,Other/Unknown,Other/Unknown
190156,Other/Unknown,Other/Unknown
190157,Other/Unknown,Other/Unknown
190158,Other/Unknown,Other/Unknown
190160,Other/Unknown,Other/Unknown
190161,Other/Unknown,Other/Unknown
190162,Other/Unknown,Other/Unknown
190163,Other/Unknown,Other/Unknown
190164,Other/Unknown,Other/Unknown
190165,Other/Unknown,Other/Unknown
190166,Other/Unknown,Other/Unknown
190167,Residence/Home,Residential or Community Center
190168,Other/Unknown,Other/Unknown
190170,Residence/Home,Residential or Community Center
190171,Other/Unknown,Other/Unknown
190172,Other/Unknown,Other/Unknown
190173,Other/Unknown,Other/Unknown
190174,Residence/Home,Residential or Community Center
190175,Residence/Home,Residential or Community Center
190176,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
190177,Other/Unknown,Other/Unknown
190179,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
190180,Other/Unknown,Other/Unknown
190181,Other/Unknown,Other/Unknown
190182,Other/Unknown,Other/Unknown
190183,Residence/Home,Residential or Community Center
190184,Other/Unknown,Other/Unknown
190186,Other/Unknown,Other/Unknown
190187,Residence/Home,Residential or Community Center
190188,Other/Unknown,Other/Unknown
190189,Residence/Home,Residential or Community Center
190190,Residence/Home,Residential or Community Center
190192,Other/Unknown,Other/Unknown
190194,Other/Unknown,Other/Unknown
190196,Other/Unknown,Other/Unknown
190197,Other/Unknown,Other/Unknown
190198,Residence/Home,Residential or Community Center
190199,Residence/Home,Residential or Community Center
190200,Other/Unknown,Other/Unknown
190201,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
190202,Other/Unknown,Other/Unknown
190203,Other/Unknown,Other/Unknown
190204,Other/Unknown,Other/Unknown
190566,Other/Unknown,Other/Unknown
190567,Other/Unknown,Other/Unknown
192367,Other/Unknown,Other/Unknown
192368,Other/Unknown,Other/Unknown
192369,Other/Unknown,Other/Unknown
192370,Other/Unknown,Other/Unknown
192371,Other/Unknown,Other/Unknown
192372,Other/Unknown,Other/Unknown
192373,Other/Unknown,Other/Unknown
192374,Other/Unknown,Other/Unknown
192375,Other/Unknown,Other/Unknown
192376,Residence/Home,Residential or Community Center
192377,Other/Unknown,Other/Unknown
192378,Other/Unknown,Other/Unknown
192379,Other/Unknown,Other/Unknown
192380,Residence/Home,Residential or Community Center
192381,Other/Unknown,Other/Unknown
192382,Other/Unknown,Other/Unknown
192384,Residence/Home,Residential or Community Center
192385,Other/Unknown,Other/Unknown
192386,Other/Unknown,Other/Unknown
192387,Other/Unknown,Other/Unknown
192389,Other/Unknown,Other/Unknown
192390,Other/Unknown,Other/Unknown
192391,Other/Unknown,Other/Unknown
192392,Other/Unknown,Other/Unknown
192393,Other/Unknown,Other/Unknown
192394,Residence/Home,Residential or Community Center
192395,Other/Unknown,Other/Unknown
192396,Residence/Home,Residential or Community Center
192397,Other/Unknown,Other/Unknown
192398,Other/Unknown,Other/Unknown
192399,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
192400,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
192401,Other/Unknown,Other/Unknown
192402,Residence/Home,Residential or Community Center
192403,Other/Unknown,Other/Unknown
192404,Other/Unknown,Other/Unknown
192405,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
192406,Other/Unknown,Other/Unknown
192407,Other/Unknown,Other/Unknown
192409,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
192410,Other/Unknown,Other/Unknown
192411,Residence/Home,Residential or Community Center
192412,Other/Unknown,Other/Unknown
192413,Other/Unknown,Other/Unknown
192414,Residence/Home,Residential or Community Center
192415,Other/Unknown,Other/Unknown
192416,Other/Unknown,Other/Unknown
192417,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
192419,Residence/Home,Residential or Community Center
192420,Residence/Home,Residential or Community Center
192421,Residence/Home,Residential or Community Center
192422,Other/Unknown,Other/Unknown
192423,Other/Unknown,Other/Unknown
192425,Other/Unknown,Other/Unknown
192426,Residence/Home,Residential or Community Center
192427,Residence/Home,Residential or Community Center
192428,Other/Unknown,Other/Unknown
192430,Other/Unknown,Other/Unknown
192431,Other/Unknown,Other/Unknown
192432,Other/Unknown,Other/Unknown
192433,Other/Unknown,Other/Unknown
192434,Other/Unknown,Other/Unknown
192435,Residence/Home,Residential or Community Center
192437,Other/Unknown,Other/Unknown
192438,Other/Unknown,Other/Unknown
192440,Other/Unknown,Other/Unknown
192441,Other/Unknown,Other/Unknown
192442,Other/Unknown,Other/Unknown
192443,Residence/Home,Residential or Community Center
192444,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
192445,Other/Unknown,Other/Unknown
192446,Other/Unknown,Other/Unknown
192447,Residence/Home,Residential or Community Center
192449,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
192450,Other/Unknown,Other/Unknown
192451,Other/Unknown,Other/Unknown
192452,Other/Unknown,Other/Unknown
192453,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
192454,Other/Unknown,Other/Unknown
192455,Other/Unknown,Other/Unknown
192456,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
192457,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
192458,Other/Unknown,Other/Unknown
192459,Other/Unknown,Other/Unknown
192460,Other/Unknown,Other/Unknown
192461,Other/Unknown,Other/Unknown
192462,Other/Unknown,Other/Unknown
192464,Other/Unknown,Other/Unknown
192466,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
192467,Other/Unknown,Other/Unknown
192468,Other/Unknown,Other/Unknown
192469,Other/Unknown,Other/Unknown
192470,Other/Unknown,Other/Unknown
192471,Other/Unknown,Other/Unknown
192473,Other/Unknown,Other/Unknown
192474,Residence/Home,Residential or Community Center
192475,Other/Unknown,Other/Unknown
192477,Other/Unknown,Other/Unknown
192478,Other/Unknown,Other/Unknown
192479,Residence/Home,Residential or Community Center
192480,Other/Unknown,Other/Unknown
192481,Residence/Home,Residential or Community Center
192482,Other/Unknown,Other/Unknown
192483,Other/Unknown,Other/Unknown
192484,Other/Unknown,Other/Unknown
192485,Other/Unknown,Other/Unknown
192486,Other/Unknown,Other/Unknown
192487,Other/Unknown,Other/Unknown
192488,Other/Unknown,Other/Unknown
192489,Other/Unknown,Other/Unknown
192490,Other/Unknown,Other/Unknown
192491,Other/Unknown,Other/Unknown
192493,Other/Unknown,Other/Unknown
192494,Other/Unknown,Other/Unknown
192495,Residence/Home,Residential or Community Center
192496,Residence/Home,Residential or Community Center
192497,Other/Unknown,Other/Unknown
192498,Other/Unknown,Other/Unknown
192499,Other/Unknown,Other/Unknown
192500,Other/Unknown,Other/Unknown
192501,Other/Unknown,Other/Unknown
192503,Other/Unknown,Other/Unknown
192504,Other/Unknown,Other/Unknown
192505,Residence/Home,Residential or Community Center
192506,Other/Unknown,Other/Unknown
192507,Residence/Home,Residential or Community Center
192508,Other/Unknown,Other/Unknown
192509,Residence/Home,Residential or Community Center
192510,Residence/Home,Residential or Community Center
192511,Other/Unknown,Other/Unknown
192512,Other/Unknown,Other/Unknown
192513,Other/Unknown,Other/Unknown
192515,Residence/Home,Residential or Community Center
